Ronda - id;Ronda - nro;Equipo 1 - id;Equipo 1 - nombre;Equipo 1 - descripcion;Equipo 1 - cantidad goles;Equipo 2 - cantidad goles;Equipo 2 - id;Equipo 2 - nombre;Equipo 2 - descripcion
1;1;1;argentina;Seleccionado;1;2;2;arabia saudita;Seleccionado
1;1;3;polonia;Seleccionado;0;0;4;mexico;Seleccionado
2;2;1;argentina;Seleccionado;2;0;4;mexico;Seleccionado
2;2;2;arabia saudita;Seleccionado;0;2;3;polonia;Seleccionado
3;3;1;argentina;Seleccionado;2;0;3;polonia;Seleccionado
3;3;2;arabia saudita;Seleccionado;1;2;4;mexico;Seleccionado
